Datetime,Open,High,Low,Close,Volume,contractSymbol,Ticker,Expiration_Date,CALL_PUT,Strike
2023-05-05 13:35:00-04:00,32.03,32.03,32.03,32.03,0.0,SPY230511C00380000,SPY,2023-05-11,CALL,380.0
2023-05-05 14:25:00-04:00,32.53,33.33,32.53,32.53,1.0,SPY230511C00380000,SPY,2023-05-11,CALL,380.0
2023-05-10 15:50:00-04:00,33.14,33.14,33.14,33.14,7.0,SPY230511C00380000,SPY,2023-05-11,CALL,380.0
2023-05-10 15:52:00-04:00,32.87,32.87,32.87,32.87,2.0,SPY230511C00380000,SPY,2023-05-11,CALL,380.0
2023-05-10 16:02:00-04:00,33.26,33.26,33.26,33.26,0.0,SPY230511C00380000,SPY,2023-05-11,CALL,380.0
2023-05-09 09:58:00-04:00,22.93,22.93,22.93,22.93,0.0,SPY230511C00389000,SPY,2023-05-11,CALL,389.0
2023-05-09 14:45:00-04:00,23.0,23.0,23.0,23.0,1.0,SPY230511C00389000,SPY,2023-05-11,CALL,389.0
2023-05-10 09:31:00-04:00,25.52,25.52,25.52,25.52,0.0,SPY230511C00389000,SPY,2023-05-11,CALL,389.0
2023-05-10 09:34:00-04:00,25.48,25.48,24.39,24.45,3.0,SPY230511C00389000,SPY,2023-05-11,CALL,389.0
2023-05-10 11:33:00-04:00,23.25,23.25,23.25,23.25,3.0,SPY230511C00389000,SPY,2023-05-11,CALL,389.0
2023-05-10 11:35:00-04:00,23.31,23.31,23.31,23.31,0.0,SPY230511C00389000,SPY,2023-05-11,CALL,389.0
2023-05-08 11:59:00-04:00,22.9,22.9,22.9,22.9,0.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-08 14:11:00-04:00,22.1,22.1,21.15,21.4,0.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-09 09:51:00-04:00,21.4,21.4,21.4,21.4,4.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-09 11:19:00-04:00,21.9,21.9,21.9,21.9,1.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-09 13:32:00-04:00,21.75,21.75,21.75,21.75,1.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-09 15:56:00-04:00,21.26,21.26,21.26,21.26,9.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-09 16:13:00-04:00,21.62,21.62,21.62,21.62,5.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-10 09:44:00-04:00,22.5,22.5,21.9,21.9,0.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-10 10:37:00-04:00,22.0,22.0,22.0,22.0,2.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-10 10:50:00-04:00,21.0,21.0,21.0,21.0,4.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-10 12:46:00-04:00,21.2,21.2,21.2,21.2,2.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-10 12:47:00-04:00,21.4,21.4,21.4,21.4,2.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
2023-05-10 13:47:00-04:00,19.55,19.55,19.55,19.55,2.0,SPY230511C00390000,SPY,2023-05-11,CALL,390.0
